2015-02-18 19:33:24 status unpacked libnih1:amd64 1.0.3-4ubuntu25
2015-02-18 19:33:24 install libpam-modules:amd64 <none> 1.1.8-1ubuntu2
2015-02-18 19:33:24 status half-installed libpam-modules:amd64 1.1.8-1ubuntu2
2015-02-18 19:33:24 status unpacked libpam-modules:amd64 1.1.8-1ubuntu2
2015-02-18 19:33:24 status unpacked libpam-modules:amd64 1.1.8-1ubuntu2
2015-02-18 19:33:24 install libpam-modules-bin:amd64 <none> 1.1.8-1ubuntu2
2015-02-18 19:33:24 status half-installed libpam-modules-bin:amd64 1.1.8-1ubuntu2
2015-02-18 19:33:24 status unpacked libpam-modules-bin:amd64 1.1.8-1ubuntu2
2015-02-18 19:33:24 status unpacked libpam-modules-bin:amd64 1.1.8-1ubuntu2
2015-02-18 19:33:24 install libpam-runtime:all <none> 1.1.8-1ubuntu2
2015-02-18 19:33:24 status half-installed libpam-runtime:all 1.1.8-1ubuntu2
2015-02-18 19:33:24 status unpacked libpam-runtime:all 1.1.8-1ubuntu2
2015-02-18 19:33:24 status unpacked libpam-runtime:all 1.1.8-1ubuntu2
2015-02-18 19:33:24 install libpam0g:amd64 <none> 1.1.8-1ubuntu2
2015-02-18 19:33:24 status half-installed libpam0g:amd64 1.1.8-1ubuntu2
2015-02-18 19:33:24 status unpacked libpam0g:amd64 1.1.8-1ubuntu2
2015-02-18 19:33:24 status unpacked libpam0g:amd64 1.1.8-1ubuntu2
2015-02-18 19:33:24 install libpcre3:amd64 <none> 1:8.31-2ubuntu2
2015-02-18 19:33:24 status half-installed libpcre3:amd64 1:8.31-2ubuntu2
2015-02-18 19:33:24 status unpacked libpcre3:amd64 1:8.31-2ubuntu2
2015-02-18 19:33:24 status unpacked libpcre3:amd64 1:8.31-2ubuntu2
2015-02-18 19:33:24 install libplymouth2:amd64 <none> 0.8.8-0ubuntu17
2015-02-18 19:33:24 status half-installed libplymouth2:amd64 0.8.8-0ubuntu17
2015-02-18 19:33:24 status unpacked libplymouth2:amd64 0.8.8-0ubuntu17
2015-02-18 19:33:24 status unpacked libplymouth2:amd64 0.8.8-0ubuntu17
2015-02-18 19:33:24 install libpng12-0:amd64 <none> 1.2.50-1ubuntu2
2015-02-18 19:33:24 status half-installed libpng12-0:amd64 1.2.50-1ubuntu2
2015-02-18 19:33:24 status unpacked libpng12-0:amd64 1.2.50-1ubuntu2
2015-02-18 19:33:24 status unpacked libpng12-0:amd64 1.2.50-1ubuntu2
2015-02-18 19:33:24 install libprocps3:amd64 <none> 1:3.3.9-1ubuntu2
2015-02-18 19:33:24 status half-installed libprocps3:amd64 1:3.3.9-1ubuntu2
2015-02-18 19:33:24 status unpacked libprocps3:amd64 1:3.3.9-1ubuntu2
2015-02-18 19:33:24 status unpacked libprocps3:amd64 1:3.3.9-1ubuntu2
2015-02-18 19:33:24 install libselinux1:amd64 <none> 2.2.2-1
2015-02-18 19:33:24 status half-installed libselinux1:amd64 2.2.2-1
2015-02-18 19:33:24 status unpacked libselinux1:amd64 2.2.2-1
2015-02-18 19:33:24 status unpacked libselinux1:amd64 2.2.2-1
2015-02-18 19:33:24 install libsemanage-common:all <none> 2.2-1
2015-02-18 19:33:24 status half-installed libsemanage-common:all 2.2-1
